,nombre,calle,id_local,disponibilidad,tipo,coordenadas,longitud,latitud,estado,nivel_precio,calificacion,numero_calificaciones,foto,cp,aforo
10,Bar Py,"C. de los Artistas, 14",ChIJc97tovgoQg0RReUvIOTf6Rk,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4473109, -3.7023826]",-3.7023826,40.4473109,OPERATIONAL,,4.4,19,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDojj3IvlVHah5_Q5kOiZi4rUoYU1angAAf0lWQDbxnz0btE6wso03i9ZKVnG4CSn7lTOIt95D-P0wyEAT_Ayl3_iCaf9byq2oymiofeNFt_b1q3db6TApuiLLjRnSygiQZh5Qv801zNqgOm2qLnmBjGEG0T7oXbjuh9RSR6I1_xPza&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 ,No disponible
11,El Refugio Bar Cerveceria,"Metro, C. de Hernani, 14",ChIJMe-wq_goQg0RaAweA0VWVoU,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4482489, -3.7027218]",-3.7027218,40.4482489,OPERATIONAL,1.0,4.8,54,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDaImuSCg9B3VEI257_Xdld7yPBPozCKur5TO_lc2bgpRwEU7Vi5vaCPJM051FtFABn8Yf8hvUWZsDSFHOMMK-j6WT9y0EGEmv25df6sx_C5OBSn0L-VTcNLUGtEWmBx7Xg-YqEleBDuJbOJfld356SbV3DaskzM_frghcX3YI-Vctb&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 ,No disponible
12,Bar Restaurante Ponzano,"C. de Ponzano, 12",ChIJKQ5xO_QoQg0RyNuIbVqsi5g,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4375802, -3.6993117]",-3.6993117,40.4375802,OPERATIONAL,2.0,3.9,1221,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEAnrDTgs9NKI3SxXNmyPsmtJ-vI6dAU3O6rs1XLEGW4v_b4yWCHlfXcmK5QZAesymsqafSecGa3k0ROBm-riDK89JtT8_ljRgx6BKqlNpHA2nP4RWuGWPzJHQRzmYSxBxhqQXD8LI7k68lOhnupjVCVneyZr3Xinq7QzOT5N2BxdPTS&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 ,No disponible
13,Lead Bar Madrid,"C. de Trafalgar, 8",ChIJw_-g0cIpQg0Rs9evw6kx1h8,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4315124, -3.700257]",-3.700257,40.4315124,OPERATIONAL,,4.5,123,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uECMWdK51mY2kMeo4ySS-DAcriTP3wVB_Qy1vGoLGsm3H4CXFaAEAaBMjteO--RiCvVIITKdNMyHoakCgFVTXiSjI9rjquu27b1Kh2dzCq8s5JSdpGyH3rlOkvBO_m2qrlryvI1pNUcJhdh3Rh06GBuPYowABnq8Y8j0picJRb7cw6pv&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 ,No disponible
14,Bar Asturias,"C. de Trafalgar, 18",ChIJWUgy3oooQg0RCO9HzdfCgiY,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.432108, -3.7004123]",-3.7004123,40.432108,OPERATIONAL,,3.6,281,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEBmb9jBwqp5NQYc2skP5WtMDSSJbZURXv2WgTUHmxwh9hotaHZSmhp_K-Dap8MPDIirMbo1T-MMvEczDugYcpromV8iibg6ZHfERxH5wV7Fa39zGHw8RNk1qQ38AsDKY5fPwJYUTZjwoN8RKwQcU9jt7LLkLPOjcAH7WkTQj8PAPDh3&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 ,No disponible
15,El Doble,"Calle de José Abascal, 16",ChIJ88gpJ_QoQg0RwR7iFI73PtE,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4383042, -3.699477]",-3.699477,40.4383042,OPERATIONAL,2.0,3.9,1755,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEAeJcxzYWmaNiA8sF6znOL7ECSGRkPfr1IwMHzEzXADglFkzh2hOWqz0j2GjQQhN3cFE7qD3AOMEWJnw6oligjVoEhSDFLNAH57BRJ8k9nU6jeSZ-QtSUaNbC5HPa-hx0YYZqA1d0wxq2xTsKekIN8kkRiyF8p2rTV56bT9IfsQgeIZ&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 ,No disponible
16,Bar Caracol,"C. Topete, 5",ChIJQ64O0FUoQg0RdU9KGpw7USM,Desconocido,"['bar', 'point_of_interest', 'establishment']","[40.4490218, -3.704869899999999]",-3.704869899999999,40.4490218,CLOSED_TEMPORARILY,,3.6,22,,28039 ,No disponible
17,Cervecería El Doble,"C. de Ponzano, 58",ChIJ0zSRG-0pQg0RZsoQ1B8j9pc,Abierto,"['bar', 'liquor_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4415222, -3.69899]",-3.69899,40.4415222,OPERATIONAL,,3.3,203,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDtZSBPraB0vOO9QBwAG2scpRTmOmIs41nyiA5jCPsda-lBMH_v2pE_4wvE_iHbtri00JitfqSVKfdkdrdthsRPW-r9j0ZzHG6zU-N_umwWh2JxGaBIe0fu7TfgNQaYcyxIQ_zwu8jHrAOv8VlJ3ibA2dqUMPSDbOiP25mPz2BeLIik&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
18,El Secreto De Ponzano,"C. de Ponzano, 48",ChIJ8-1d5_YoQg0RYDzlTHqfhjs,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.440591, -3.6990197]",-3.6990197,40.440591,OPERATIONAL,2.0,3.6,1618,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEBBYqRam3gP911KahnLrUiO_EVEFXduevFpVN0f3kXfTe7XFpvWr_YDy7hBuouc_AfJLxRvGiBWBQ4BdSMXQ-ZzAdn6GXXB3mguzLd2wq52AOnsMabZrwqCs8NnOJbuGpTsyZ9_EJt-ITpU0ZTQ_z29JLJPCTT3F-T706af5P-5ldJJ&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
19,Bar La Placita,"C. de Gabriel Lobo, 10",ChIJg7-t6MIoQg0RWN-DwTX2LeM,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4424331, -3.6807991]",-3.6807991,40.4424331,OPERATIONAL,1.0,4.3,143,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEBQzdGLLbfN33M7qbepVzrxvctblkqtdHzddw4DkOq8AMPksD5C7KxnsziapTlGLHjyjakgfyAB5RvbYeqh1G_2AB_FjgikQRTAEnV_3hlXGSSNQZQtbyxChzleZxTtsB6XVhJR8lUWNvhq0KoeQYTHjwJskdD-s24ZRs9Ucni8ildT&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28002 ,No disponible
